HCPCS,MOD,DESCRIPTION,STATUS CODE,PAYMENT,RVU,PE RVU,INDICATOR,PE RVU,INDICATOR,RVU,TOTAL,TOTAL,IND,DAYS,OP,OP,OP,PROC,SURG,SURG,SURG,SURG,BASE,FACTOR,PROCEDURES,FLAG,INDICATOR,AMOUNT,AMOUNT,AMOUNT
A2004,,"Xcellistem, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2005,,"Microlyte matrix, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2006,,Novosorb synpath per sq cm,C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2007,,"Restrata, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2008,,"Theragenesis, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2009,,"Symphony, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2010,,"Apis, per square centimeter",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2011,,"Supra sdrm, per square cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2012,,"Suprathel, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A2013,,"Innovamatrix fs, per sq cm",C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4100,,Skin sub fda clrd as dev nos,C,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4206,,1 cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4207,,2 cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4208,,3 cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4209,,5+ cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4210,,Nonneedle injection device,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4211,,Supp for self-adm injections,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4212,,Non coring needle or stylet,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4213,,20+ cc syringe only,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4215,,Sterile needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4216,,"Sterile water/saline, 10 ml",X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4217,,"Sterile water/saline, 500 ml",X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4218,,Sterile saline or water,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4220,,Infusion pump refill kit,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4221,,Supp non-insulin inf cath/wk,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4222,,Infusion supplies with pump,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4223,,Infusion supplies w/o pump,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4224,,Supply insulin inf cath/wk,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4225,,Sup/ext insulin inf pump syr,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4226,,Weekly supply maint cgs pump,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4230,,Infus insulin pump non needl,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4231,,Infusion insulin pump needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4232,,Syringe w/needle insulin 3cc,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4233,,Alkalin batt for glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4234,,J-cell batt for glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4235,,Lithium batt for glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4236,,Silvr oxide batt glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4238,,Adju cgm supply allowance,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4244,,Alcohol or peroxide per pint,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4245,,Alcohol wipes per box,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4246,,Betadine/phisohex solution,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4247,,Betadine/iodine swabs/wipes,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4248,,Chlorhexidine antisept,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4250,,Urine reagent strips/tablets,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4252,,Blood ketone test or strip,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4253,,Blood glucose/reagent strips,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4255,,Glucose monitor platforms,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4256,,Calibrator solution/chips,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4257,,Replace lensshield cartridge,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4258,,Lancet device each,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4259,,Lancets per box,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4261,,Cervical cap contraceptive,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4262,,Temporary tear duct plug,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4263,,Permanent tear duct plug,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4264,,Intratubal occlusion device,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4265,,Paraffin,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4266,,Diaphragm,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4267,,Male condom,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4268,,Female condom,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4269,,Spermicide,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4270,,Disposable endoscope sheath,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4280,,Brst prsths adhsv attchmnt,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4281,,Replacement breastpump tube,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4282,,Replacement breastpump adpt,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4283,,Replacement breastpump cap,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4284,,Replcmnt breast pump shield,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4285,,Replcmnt breast pump bottle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4286,,Replcmnt breastpump lok ring,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4290,,Sacral nerve stim test lead,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4300,,Cath impl vasc access portal,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4301,,Implantable access syst perc,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4305,,Drug delivery system >=50 ml,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4306,,Drug delivery system <=50 ml,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4310,,Insert tray w/o bag/cath,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4311,,Catheter w/o bag 2-way latex,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4312,,Cath w/o bag 2-way silicone,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4313,,Catheter w/bag 3-way,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4314,,Cath w/drainage 2-way latex,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4315,,Cath w/drainage 2-way silcne,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4316,,Cath w/drainage 3-way,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4320,,Irrigation tray,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4321,,Cath therapeutic irrig agent,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4322,,Irrigation syringe,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4326,,Male external catheter,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4327,,Fem urinary collect dev cup,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4328,,Fem urinary collect pouch,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4330,,Stool collection pouch,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4331,,Extension drainage tubing,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4332,,Lube sterile packet,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4333,,Urinary cath anchor device,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4334,,Urinary cath leg strap,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4335,,Incontinence supply,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4336,,Urethral insert,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4337,,Incontinent rectal insert,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4338,,Indwelling catheter latex,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
A4340,,Indwelling catheter special,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
